,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Symbol,Quantity,Date,Cost/Share $,Total Cost $,Date,Price/Share $,Proceeds $,Gain $,Deferred Loss $,Term,Lot Selection
AAL,2000,--,--,23574.48,--,--,23559.8703,-14.61,--,Short,--
    Sell,1900,6/6/2025,11.79,22395.49,6/10/2025,11.78,22381.8803,-13.61,0,Short,FIFO
    Sell,100,6/6/2025,11.79,1178.99,6/10/2025,11.78,1177.99,-1,0,Short,FIFO
AAOI,6000,--,--,101825.16,--,--,141382.9401,39557.78,--,Short,--
    Sell,500,4/9/2025,12.57,6287.45,4/9/2025,13.19,6597.23,309.78,0,Short,FIFO
    Sell,200,6/6/2025,16.9,3381,6/27/2025,27.74,5547.97,2166.97,0,Short,FIFO
    Sell,500,6/12/2025,17.58,8789.05,7/3/2025,29.66,14829.92,6040.87,0,Short,FIFO
    Sell,500,6/12/2025,17.58,8789.05,7/9/2025,26.81,13404.92,4615.87,0,Short,FIFO
    Sell,500,6/12/2025,17.45,8722.6,7/9/2025,26.81,13404.91,4682.31,0,Short,FIFO
    Sell,500,6/23/2025,22.43,11213.4,7/16/2025,27.75,13876.47,2663.07,0,Short,FIFO
    Sell,100,6/24/2025,23.01,2300.63,7/21/2025,28.43,2842.98,542.35,0,Short,FIFO
    Sell,300,6/6/2025,16.9,5071.5,6/27/2025,27.88,8364.6099,3293.11,0,Short,FIFO
    Sell,475,6/6/2025,17.08,8110.72,6/27/2025,27.55,13084.98033,4974.26,0,Short,FIFO
    Sell,25,6/6/2025,17.08,426.88,6/27/2025,27.55,688.75,261.87,0,Short,FIFO
    Sell,500,4/9/2025,12.57,6287.45,4/9/2025,13.21,6604.98,317.53,0,Short,FIFO
    Sell,100,5/8/2025,14.23,1423,6/4/2025,17.02,1702.48,279.48,0,Short,FIFO
    Sell,300,5/8/2025,14.24,4271.49,6/4/2025,17.02,5107.4499,835.96,0,Short,FIFO
    Sell,400,5/8/2025,14.12,5648,6/4/2025,17.02,6809.93,1161.93,0,Short,FIFO
    Sell,200,6/3/2025,16.81,3362.82,6/4/2025,17.02,3404.97,42.15,0,Short,FIFO
    Sell,500,6/6/2025,17.08,8537.6,6/27/2025,27.48,13742.42,5204.82,0,Short,FIFO
    Sell,400,6/24/2025,23.01,9202.52,7/21/2025,28.42,11367.97,2165.45,0,Short,FIFO
ACHR,6400,--,--,67744.79,--,--,70769.391,3024.6,--,Short,--
    Sell,1000,2/14/2025,10.04,10035,2/18/2025,11.19,11191.91,1156.91,0,Short,FIFO
    Sell,800,7/15/2025,11.42,9133.04,7/16/2025,11.45,9161.1504,28.11,0,Short,FIFO
